phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Bacillota,Bacteria,10923,PG_binding_1+Amidase_2,346,3.168
Bacillota,Bacteria,10923,SPOR+Amidase_2,322,2.948
Bacillota,Bacteria,10923,SH3_16+NLPC_P60,303,2.774
Bacillota,Bacteria,10923,PG_binding_1+VanY,276,2.527
Bacillota,Bacteria,10923,PG_binding_1+Peptidase_M15,212,1.941
Bacillota,Bacteria,10923,LysM+Amidase_2,193,1.767
Bacillota,Bacteria,10923,SH3_3+Glyco_hydro_25,187,1.712
Bacillota,Bacteria,10923,PG_binding_1+Glyco_hydro_25,156,1.428
Bacillota,Bacteria,10923,SH3_3+Amidase_2,125,1.144
Bacillota,Bacteria,10923,PG_binding_1+Glucosaminidase,110,1.007
Bacillota,Bacteria,10923,Choline_bind_1+Choline_bind_3+Amidase_3,106,0.97
Bacillota,Bacteria,10923,PG_binding_1+Peptidase_M23,103,0.943
Bacillota,Bacteria,10923,CW_7+LysM+Glyco_hydro_25,64,0.586
Bacillota,Bacteria,10923,LysM+SLT,53,0.485
Bacillota,Bacteria,10923,PG_binding_3+Glyco_hydro_108,34,0.311
Bacillota,Bacteria,10923,LysM+Phage_lysozyme2,16,0.146
Bacillota,Bacteria,10923,LysM+Peptidase_M15,5,0.046
Bacteroidota,Bacteria,5552,LysM+SLT,4470,80.512
Bacteroidota,Bacteria,5552,SH3_3+NLPC_P60,2342,42.183
Bacteroidota,Bacteria,5552,LysM+Peptidase_M23,1968,35.447
Bacteroidota,Bacteria,5552,SH3_16+NLPC_P60,1612,29.035
Bacteroidota,Bacteria,5552,PG_binding_3+Glyco_hydro_108,289,5.205
Bacteroidota,Bacteria,5552,SH3_4+NLPC_P60,267,4.809
Bacteroidota,Bacteria,5552,AMIN+Amidase_3,235,4.233
Bacteroidota,Bacteria,5552,PG_binding_1+Amidase_2,208,3.746
Bacteroidota,Bacteria,5552,SH3_3+Amidase_2,160,2.882
Bacteroidota,Bacteria,5552,LysM+NLPC_P60,143,2.576
Bacteroidota,Bacteria,5552,PG_binding_1+Peptidase_M15,62,1.117
Bacteroidota,Bacteria,5552,PG_binding_1+Glyco_hydro_25,22,0.396
Bacteroidota,Bacteria,5552,PG_binding_1+VanY,9,0.162
Bacteroidota,Bacteria,5552,SH3_6+NLPC_P60,9,0.162
Bacteroidota,Bacteria,5552,PG_binding_1+Peptidase_M23,4,0.072
Bacteroidota,Bacteria,5552,LysM+Amidase_2,3,0.054
Bacteroidota,Bacteria,5552,LysM+Amidase_3,3,0.054
Bacteroidota,Bacteria,5552,SH3_3+Glyco_hydro_25,2,0.036
Bacteroidota,Bacteria,5552,SPOR+Amidase_2,2,0.036
Bacteroidota,Bacteria,5552,PG_binding_1+Glucosaminidase,1,0.018
Bacteroidota,Bacteria,5552,SH3_3+Amidase_3,1,0.018
Bdellovibrionota,Bacteria,371,LysM+SLT,340,91.644
Bdellovibrionota,Bacteria,371,LysM+Peptidase_M23,68,18.329
Bdellovibrionota,Bacteria,371,PG_binding_3+Glyco_hydro_108,5,1.348
Bdellovibrionota,Bacteria,371,SH3_6+NLPC_P60,5,1.348
Bdellovibrionota,Bacteria,371,AMIN+Amidase_3,4,1.078
Bdellovibrionota,Bacteria,371,SH3_16+NLPC_P60,2,0.539
Bdellovibrionota,Bacteria,371,LysM+Phage_lysozyme2,1,0.27
Bdellovibrionota,Bacteria,371,PG_binding_1+Amidase_2,1,0.27
Campylobacterota,Bacteria,412,LysM+SLT,329,79.854
Campylobacterota,Bacteria,412,SH3_6+NLPC_P60,147,35.68
Campylobacterota,Bacteria,412,AMIN+Amidase_3,91,22.087
